Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 2/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 3/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 4/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 5/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 6/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 7/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 8/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 9/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 10/10 of page 101..... | 
Mon, 07 Feb 2022 18:34:28 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 101 | 
Mon, 07 Feb 2022 18:34:28 GMT | INFO | mobile.log | Successfully scraped 1040 till now | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Start scrapping page 102....... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 1/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 2/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 3/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 4/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 5/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 6/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 7/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 8/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 9/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:30 GMT | INFO | mobile.log | Scraping item 10/10 of page 102..... | 
Mon, 07 Feb 2022 18:34:32 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 102 | 
